survey,loc_id,benthic_feeder,pelagic_feeder,surface_feeder,gu,sandeels_presence,fish_presence,velocity,proportion,npoints,tides
10,1,0,0,0,0,0,1,0.793274335,2.218927702,57,ebb
10,10,0,0,0,0,0,0,0.877401133,1.763356667,21,ebb
10,11,0,0,0,0,0,0,0.82434753,1.709192522,23,ebb
10,12,0,0,0,0,0,0,0.704603079,1.701888833,24,ebb
10,13,0,0,0,0,0,0,0.630599938,1.820907,8,ebb
10,14,0,0,0,0,0,0,0.447371808,1.742694154,13,ebb
10,15,0,0,0,0,0,0,0.381957961,1.827953283,46,ebb
10,16,0,0,0,0,0,0,0.283580297,1.663059603,58,ebb
10,17,0,0,0,0,0,0,0.205483994,1.866662031,64,ebb
10,18,0,1,0,4,0,1,0.13594711,2.862124288,52,ebb
10,19,1,0,0,2,0,0,0.078051793,3.188583667,54,ebb
10,2,0,0,0,0,0,1,1.191007789,1.792298175,57,ebb
10,20,2,0,0,2,1,0,0.113767253,4.040718075,53,ebb
10,21,0,0,0,0,0,0,0.154213049,3.937551549,51,ebb
10,22,0,0,0,0,0,0,0.141572863,4.49401435,40,ebb
10,23,0,0,0,0,0,0,0.20155785,4.173564533,30,ebb
10,24,0,0,0,0,0,0,0.211888782,4.253483643,28,ebb
10,25,0,0,0,0,0,0,0.217463192,4.052505583,24,ebb
10,26,0,0,0,0,0,0,0.184267223,4.119804636,22,ebb
10,27,0,0,0,0,0,0,0.169021905,3.597056684,19,ebb
10,28,0,0,0,0,0,0,0.161696038,4.044112333,18,ebb
10,29,0,0,0,0,0,0,0.180761983,6.82372,18,ebb
10,3,0,0,0,0,0,1,1.133822595,1.596310018,56,ebb
10,30,0,0,0,0,0,0,0.160926375,4.5991618,20,ebb
10,31,0,0,0,0,0,0,0.149889074,4.531382826,23,ebb
10,32,0,0,0,0,0,0,0.14366197,3.734222444,27,ebb
10,33,0,0,0,0,0,0,0.196556697,4.112256176,34,ebb
10,34,0,0,0,0,0,0,0.265301735,4.695190208,48,ebb
10,35,0,0,0,0,0,0,0.384732927,5.250596633,60,ebb
10,36,0,0,0,0,0,0,0.470788357,3.484494574,61,ebb
10,4,0,0,0,0,0,0,1.0012187,1.599139,43,ebb
10,5,0,0,0,0,0,0,0.961295546,1.546854286,35,ebb
10,7,0,0,0,0,0,0,0.786777916,4.075770947,19,ebb
10,8,0,0,0,0,0,0,0.707481833,2.04526575,24,ebb
10,9,0,0,0,0,0,0,0.617996482,1.590616455,22,ebb
11,1,0,0,0,0,0,0,0.899334231,2.332263596,52,ebb
11,10,0,0,0,0,0,1,1.933352043,1.697490304,23,ebb
11,11,0,0,0,0,1,1,2.02519524,1.61153828,25,ebb
11,12,0,0,0,0,0,1,2.201985464,1.603051964,28,ebb
11,13,0,0,0,0,0,1,2.273250278,1.663427278,36,ebb
11,14,0,0,0,0,0,1,2.081246241,2.482917907,54,ebb
11,15,0,0,0,0,0,0,1.131660448,8.296906973,113,ebb
11,16,0,0,0,0,0,0,0.244430666,1.728473043,69,ebb
11,17,0,0,0,0,0,0,0.240336974,2.1877721,50,ebb
11,18,0,0,0,0,0,0,0.244132369,2.4722334,65,ebb
11,19,0,0,0,0,0,0,0.697914582,3.252625564,78,ebb
11,2,0,0,0,0,0,0,0.973368098,1.739024714,56,ebb
11,20,0,0,0,0,0,0,1.214499871,4.896194452,93,ebb
11,21,0,0,0,0,0,0,1.308031456,3.761667421,57,ebb
11,22,0,0,0,0,0,0,1.322199477,3.541000045,44,ebb
11,23,0,0,0,0,0,0,1.369722906,4.020062938,32,ebb
11,24,0,0,0,0,0,0,1.298668333,3.744247667,24,ebb
11,25,0,0,0,0,0,0,1.3142739,3.44088685,20,ebb
11,26,0,0,0,0,0,0,1.293003778,3.456685944,18,ebb
11,27,0,0,0,0,0,0,1.2659525,3.649927625,16,ebb
11,28,0,0,0,0,0,0,1.209037222,3.804640333,18,ebb
11,29,0,0,0,0,0,0,1.192675765,3.811871118,17,ebb
11,3,0,0,0,0,0,1,1.058713606,1.553816857,63,ebb
11,30,0,0,0,0,0,0,1.180792,4.14708825,20,ebb
11,31,0,0,0,0,0,0,1.162147909,4.360627818,22,ebb
11,32,0,0,0,0,0,0,1.144062655,3.572690586,29,ebb
11,33,0,0,0,0,0,0,1.028598254,3.443907054,37,ebb
11,34,0,0,0,0,0,0,1.068645023,3.782445674,43,ebb
11,35,0,0,0,0,0,0,1.080765574,4.751157362,47,ebb
11,36,0,0,0,0,0,0,0.886251215,3.458696917,48,ebb
11,4,0,0,0,0,0,1,1.222496647,1.625867059,51,ebb
